Advanced Pet Diets Select Choice
Filet Mignon Flavor and Potato & Green Bean Garnishes	270

Chicken Soup for the Pet Lover’s Soul
Puppy	348
Large Breed Puppy	337
Adult	336
Adult Large Breed	334
Adult Lite	289
Senior	315

Cloud Star
Holistic Baked Kibble	454

Dad’s Brand
Bite Size Meal	376
Natural Big Dog Chunx	278
Healthy Homestyle	319
Trail Mix	320

Diamond
Puppy	438
Hi-Energy	400
Original	317
Maintenance Formula	330
Performance Formula	448
Premium Adult Formula	435
Lamb & Rice Lite	275

Diamond Naturals
Small Breed Puppy	419
Large Breed Puppy Lamb and Rice	342
Extreme Athlete	470
Lamb and Rice Lite	275
Small Breed Chicken and Rice	345
Small Breed Lamb and Rice	334
Chicken and Rice	368
Beef Meal and Rice	338
Lamb Meal and Rice	337
Large Breed Lamb and Rice	335
Large Breed 60+	327
Senior 8+	324

DickVan Patten Nature’s Formula
Potato & Duck	427
Sweet Potato & Fish	394
Sweet Potato & Venison	368
Venison & Brown Roce	404
Vegetarian Formula	430
Organic Formula	423
Ultra-Premium	485
Reduced Calorie Formula	294

Eagle Pack Holistic Select
Small & Mini Puppy	446
Large & Giant Breed Puppy	375
Chicken Meal & rice	386
Duck Meal	363
Anchovy, Sardine & Salmon Meal	354
Lamb Meal	403
Large & Giant Breed Adult	392
Senior Care	368
Anchoy, Sardines & Chicken Meal	403
Weight Management	302

Eagle Pack Super Premium
Small & Medium Breed Puppy	428
Large & Giant Breed Puppy	367
Original Adult- Lamb Meal & Rice	364
Power Formula	439
Reduced Fat	354
Large & Giant Breed Adult	382
Original Adult Pork Meal & Chicken Meal	420
Small Bites Adult	420
Senior	362

EVO~ The Ancestral Diet
Red Meat Formula	527
Red Meat- Small Bites	527
Weight Management	458
Turkey & Chicken Meal Senior	434
Turkey & Chicken Formula	537
Turkey & Chicken Formula Small Bites	537
Herring & Salmon Formula	516
Weight Managment	458

Eukanuba
Puppy Weaning Diet Formula	502
Small Breed Puppy	503
Large Breed Puppy	362
Puppy Natural Lamb & Rice	357
Small Breed Adult	457
Small Bite Adult Maintenance	404
Adult Maintenance	404
Large Breed Adult	349
Adult Natural Lamb and Rice	375
Large Breed Adult Natural Lamb & Rice	374
Premium Performance- Active	458
Premium Performance- Sporting	431
Small Breed Weight Control	316
Weight Control Adult Maintenance	272
Large Breed Weight Control	272
Weight Control Natural Lamb & Rice	357
Small Breed Senior	396
Medium Breed Senior	341
Large Breed Senior	336
Senior Natural Lamb & Rice	352
Puppy Growth Chicken & Rice	446

Eukanuba Breed Specific Diet
Yorkshire Terrier	458
Dachshund	405
Boxer	404
Chichuahua	397
Rottweiler	325
Spaniel	299
Labrador Retriever	350
German Shepherd	351


Eukanumba Custom Care
Sensitive Skin	329
Healthy Joints	353
Weight Loss	277
Sensitive Digestion	289

Eukanuba Naturally Wild
New Zealand Venison & Potato	264
North Atlantic Salmon & Rice	311
Country- Grown Turkey & Multigrain	260
Large Breed Adult New Zealand Venison & Potato	394
Large Breed Adult Atlantic Salmon & Rice	395
Puppy Growth Atlantic Salmon & Rice	434

Fresh Pet Select
Real Chicken Recipe with Carrots & Spinach	226

Fresh Pet Veterinary Nutrition
Canine Intensive Support	270 per 1/2 lb
Canine Maintenance Foundation	275 per 1/2 lb

Fresh Pet Vital
Chicken, Beef, Salmon & Egg Recipe with Cranberries & Spinach	214


Fromm Classics
Adult	386
Mature Adult- Maintenance/Weight Loss Recipe	321

Fromm Four-Star Nutritionals
Grain- Free Surf & Turf	422
Prok & Applesauce	383
Duck & Sweet Potato	391
Chicken A ‘La Veg	393
Whitefish & Potato	352
Salmon A ‘La Veg	389
Grain-Free Beef Frittata Veg	417

Fromm Gold Nutrionals
Puppy Gold	430
Large Breed Puppy Gold	400
Adult Gold	405
Large Breed Adult Gold	380
Reduced Activity Senior Gold	367

Grandma Lucy’s TRUE Grain-Free Dog Food
Chicken	468
Lamb	481
Venison	470
Pork	473

HealthWise
Chicken Meal & Brown Rice – Puppy	468
Chicken Meal & Oatmeal	453
Chicken Meal & Oatmeal – Active	461
Lamb Meal & Oatmeal	428
Chicken Meal & Oatmeal Weight Control	373

Hill’s Prescription Diet
b/d	358
c/d	413
d/d – rice & egg formula	383
d/d – potato & duck formula	366
d/d – potato & venison	366
d/d – potato & salmon formula	366
g/d	358
h/d	407
i/d	379
j/d	356
k/d	396
l/d	399
r/d	242
r/d with chicken	241
t/d	254
u/d	396
w/d	243
w/d with chicken	239
z/d Low Allergen	363
z/d Ultra Allergen Free	254

Hunter’s Choice
Chunk Style	338
Mini-Bites	338

Iams Proactive Heathly Puppy
Smart Puppy – Small & Toy Breed	465
Smart Puppy	432
Smart Puppy – Large Breed	403

Iams Proactive Health Adult
Small & Toy	421
MiniChunks	426
Chunks	374
Large Breed	374
Healthy Naturals	352
Premium Protection	297
Lamb Meal and Rice	341
Weight Control	363
Weight Control Large Breed	313
Active Maturity- Small & Toy (7+ yrs)	383
Active Maturity – Large Breed (7+ yrs)	293

Iams Veterinary Formulas
Skin & Coat – Response FP	263
Skin & Coat – Response KO	329
Intestinal Formula Low Residue – Puppy	386
Intestinal Formula Low Residue	257
Weight Loss Restricted Calorie	217
Weight Control D – Optimum Weight Control	252
Joint	294
Renal – Early Stage	245

Innova Holistic
Puppy	550
Large Breed Puppy	366
Large Bites	537
Small Bites	537
Red Meat – Large Bites	487
Red Meat – Small Bites	487
Large Breed	350
Low Fat	433
Senior	330
Senior Plus	425
Large Breed Senior	330

Jim Dandy
Chunx n’ Gravy	371
Classic Dinner- Beef Flavored	329
Tender Meaty Chunx	335

KARMA Organic
Adult	425

Kibbles n’ Bits
Original	346
Small Breed (Mini Bits)	349
N’ Beefy Bits	350
Weight Maintenance (Balanced Bites)	335
Brushing Bites	361
Golden Years	364
Tender Chops	371
Wholesome Medley	298

Kibbles n’ Bits Homestyle
Roasted Chicken & Vegetables	327
Grilled Beef Steak & Vegetables	365

Kibble Select Complete
Original	350
Healthy Weight	305
All Natural	350

Kirklands (Costco Brand)
Super Premium Puppy – Chicken, Rice and Vegetable Formula	390
Super Premium Adult – Chicken, Rice and Vegetable Formula	393
Super Premium Adult – Lamb, rice and Vegetable Formula	373
Nature’s Domain – Salmon Meal and Sweet Potato Formula	336
Super Premium Healthy Weight	275

Merrick
Puppy Plate	364
Cowboy Cookout	354
Grammy’s Pot Pie	356
Turducken	354
Camfire Trout	370
Wilderness Blend	364
Senior Medly	334

Natural Planet Organics
Dog Formula	320

Nature’s Logic
Chicken	551
Lamb	551
Venison	551
Duck & Salmon	551
Beef	551

Nature’s Variety ~ Instinct
Chicken Meal	490
Rabbit Meal	482
Duck Meal & Turkey	464
Beef Meal & Lamb Meal	494
Salmon Meal	470

Nature’s Variety ~ Prairie
Chicken Meal and Brown Rice Medley	391
Beef Meal and Barley Medley	430
Lamb Meal and Oatmeal Medley	409
New Zealand Venison Meal and Millet Medley	434
Salmon Meal and Brown Rice Medley	420
Puppy	415
Large breed Puppy	402

Newman’s Own Organics
Adult Dog Formula	397
Advanced Dog Formula	404

Nutrish (Rachel Ray)
Chicken & Veggies	351
Beef & Brown Rice	350
Healthy Weight Turkey & Veggies	305
Just 6 Lamb & Rice	324

NutriSource Super Premium
Small & Medium Breed Puppy Chicken & Rice formula	384
Large Breed Puppy Chicken and Rice Formula	372
Adult Chicken and Rice Formula	372
Large Breed Adult Chicken and Rice Formula	361
Weight Management Chicken and Rice Formula	353
Lamb Meal and Rice	362
Large Breed Adult Lamb Meal and Rice	361
Performance Chicken and Rice Formula	391
Super Performance Chicken and Rice Formula	403
Senior Chicken and Rice Formula	379

Nutro MAX Puppy
Puppy	367
Large Breed	319

Nutro MAX Adult
Adult	380
Mini Chunk	370
Natural	380
Beef Meal and Rice Dinner	353
Large Breed	301
Weight Control	269
Adult Lamb Meal and Rice	376

Nutro MAX Senior 7+ years
Senior	276

Nutro Natural Choice Puppy
Lamb Meal and Rice	341
Small Bites Chicken, Rice and Oatmeal	330
Large Breed	341
Large Breed Lamb and Rice	349
Small Breed Puppy Chicken and Brown Rice	355

Nutro Natural Choice Adult
Lamb Meal and Rice	337
Lamb Meal and Rice Small Bites	317
Chicken Meal, Rice and Oatmeal	337
Venison Meal and Whole Brown Rice	282
Herring Meal, Rice and Potato	264
Dental Care	287
High Energy	399
Lite	229
Large Breed	338
Large Breed Lamb and Rice	319
Large Breed Weight Management	271
Small Breed Adult	346

Nutro Natural Chioce Senior 7+ years
Senior	262
Rice and Lamb Meal	337
Large Breed	289

Nutro Ultra
Puppy	355
Large Breed Puppy	347
Adult	334
Smal Breed Adult	352
Large Breed Adult	320
Weight Management	300
Senior	314

Orijen
Puppy	480
Puppy Large Breed	410
Adult	460
6 Fresh Fish	480
Senior	395

Pedigree Puppy
Puppy Nutrition	305

Pedigree Adult
Adult Complete Nutrition	335
Large Breed Nutrition	340
Small Breed Nutrition	280
Wholesome Nutrition	360
Healthy Joints	319
Healthy Longevity	319
Healthy Weight	278

Pet Promise
Healthy Growth	447
Daily Health	443
Healthy Weight and Aging	395

Premium Edge
Adult chicken, Rice and Vegetables Formula	353
Adult Lamb, Rice and Vegetables Formula	329
Senior Lamb, Rice and Vegetables Formula	320
Skin & Coat Salmon, Potatos and Vegetables Formula	327
Healthy Weight I – weight reduction formula	347
Healthy Weight II – weight control formula	305

Professional Dog Food
Puppy- Chicken and Barley formula Small/Medium Breed	362
Puppy-Large Breed Chicken and Barley formula	322
Chicken and Barley Formula	351
Lamb and Rice Formula	328
Active Dog chicken and Rice Formula	376
Rice and Chicken Low-Fat Formula	318
Senior chicken and Barley Formula	330

Pure Vita
Chicken & Brown Rice	368
Duck & Oatmeal	368
Salmon & Potato	364
Grain Free Salmon	415
Grain Free Turkey	415

Purina Dog Chow
Complete and Balanced	433
Healthy Morsels – with Lamb Meal & Rice – Soft & Crunchy Bites	365
Fit and Trim Healthy Weight	352
Little Bites	366
Healthy Life Nutrition	351
Healthy Weight Nutrition	352

Purina Fit and Trim
Fit and Trim Adult Dog Food	352

Purina Moist n’ Meaty (pouches)
Burger with Cheddar Cheese	476
Rise & Shine Awaken Bacon and Egg Flavor	469
Chopped Burger	449
With Lamb and Rice	440
Steak Falvor	450

Purina Puppy Chow
Healthy Life Nutrition – Complete & Balanced for Growing Puppies	399
Healthy Life Nutrition – Healthy Morsels Soft & Crunchy Bites	356
Healthy Life Nutrition Large Breed Formula	371

Purina ONE Puppy
Healthy Puppy	465
SmartBlend – Healthy Puppy	381
Large Breed Puppy	404

Purina ONE Adult
SmartBlend – Small Bites Beef & Rice	388
SmartBlend – Chicken & Rice	383
SmartBlend – Lamb & Rice	384
Healthy Weight Formula	359
SmartBlend Healthy Weight Formula	320
Large Breed Adult Formula	400
Large Breed – Healthy Weight	381
Sensitive Systems Adult	453

Purina ONE beyOnd
Lamb & Whole Barley Recipe	476
Chicken & Whole Oat Meal Recipe	469

Purina ONE Senior 7+ years
Vibrant Maturity	403
SmartBlend – Vibrant Maturity	363

Purina Pro Plan Puppy
Chicken and Rice	470
Shredded Blend Chicken & Rice Formula	384
Lamb & Rice	458
Toy Breed Formula	523
Small Breed Formula	463
Large Breed Formula	382

Purina Pro Plan Puppy Selects
Natural Turkey & Barley Formula Plus Essential Vitamins and Minerals	475
Natural Turkey Formula	425

Purina Pro Plan Adult
Beef and Rice	372
Chicken and Rice	384
Natural Lamb and Rice	390
All Life Stages	489
Small Bites – All Life Stages	445
Toy Breed Formula	489
Small Breed Formula	466
Large Breed Formula	398
Shredded Blend Large Breed Formula	338
Giant Breed Formula	383
Sensitive Skin and Stomach	419
Performance Formula for Hardworking and Highly Active Dogs	493
Weight Management Formula	362
Shredded Blend Weight Management	335
Weight Management Large Breed Formula	372

Purina Pro Plan Adult Selects
Natural Turkey & Barley Plus Essential Vitamins and Minerals	437
Natural Beef & Barley Plus Essential Vitamins and Minerals	455
Natural Salmon & Brown Rice Plus Essential Vitamins and Minerals	460
Natural Chicken & Brown Rice Plus Essential Vitamins and Minerals	465
Natural Turkey Formula	419

Purina Pro Plan Senior 7+ yrs
Chicken and Rice	408
Shredded Blend Chicken & Rice	361
Large Breed	398

Purina Pro Plan Selects Senior 7 + yrs
Natural Turkey Formula	398
Natural Turkey & Barley Plus Essential Vitamins and Minerals	450

Purina Veterinary Diets
DCO – Dual Fiber Control	320
DH- Dental Health	290
DH- Dental Health Small Bites	302
DRM – Dermatologic Management	394
EN – GastroEnteric	399
HA- HypoAllergenic	311
JM- JointMobility	408
NF- Kidney Function	459
OM- Overweight Management	266

Royal Canin Mini
Babydog 30	489
Puppy 33	500
Adult 27	338
Indoor Puppy 27	363
Indoor Adult 21	384
Toy Indoor Adult 25	355
Chihuahua 28	326
Dachshund 28	308
Miniature Schnauzer 25	273
Poodle 30	359
Shih Tzu 24	346
Yorkshire 28	378
Special 30	492
Weight Care 30	326
Dental Hygiene 24	320
Beauty Care 26	382
Aging Care 27	378

Royal Canin MEDIUM
Puppy 32	402
Adult 25	327
Active Special 25	349
Bulldog 24	306
Cocker Spaniel 25	306
Aging Care 25	315

Royal Canin MAXI
Babydog 30	461
Large Breed Puppy 32	365
Large Breed Adult	362
Aging Care 26	364
Boxer 26	353
German Shepherd 24	314
Golden Retriever 25	412
Labrador	321
Joint and Coat Care 28	371
Weight Care 27	364

Royal Canin- Veterinary Diets ~ Early Care Canine
Digest and Skin DS 27- puppy	391
Digest and Osteo DO28 – Large Breed Puppy	338
Skin and Stone SS 23 – Small Breed Adult	325
Osteo and Digest OD 23 – Large Breed Adult	365
Weight and Stone WS- Small Breed Adult	271
Weight and Osteo WO- Large Breed Adult	246
Mature Formula	421

Royal Canin – Veterinary Diets
Calorie Control CC – High Fiber	231
Calorie Control CC – High Protein	234
Dental DD	317
Dental DS – Small Breed	347
Diabetic HF	198
Digestive Low Fat LF	229
Early Cardiac EC	287
Hepatic LS	324
Hypoallergenic HP	319
Intestinal HE	369
Mobility Support JS	321
Mobility Support JS – Large Breed	330
Potato and Duck Formula – Limited Ingredient Diet	301
Potato and Duck Formula Light – Limited Ingredient Diet	228
Potato and Rabbit Formula – Limited Ingredient Diet	290
Potato and Venison Formula – Limited Ingredient Diet	268
Potato and Venison Formula Large Breed – Limited Ingredient Diet	258
Potato and Whitefish Formula – Limted Ingredient Diet	271
Renal LP Modified	271
Renal MP	320
Skin Support SS	294
Urinary SO	284
Urinary UC Low Purine	355
Vegetarian Formula	283

Science Diet
Puppy – Healthy Development Original	384
Puppy – Small Bites	384
Puppy – Lamb Meal and Rice	377
Puppy – Large Breed	357
Puppy – Large Breed Lamb Meal and Rice	357
Advanced Fitness Original	365
Original Small Bites	365
Puppy – Healthy Advantage	384
Puppy – Healthy Advantage Large Breed	357
Puppy – Ideal Balance Chicken & Brown Rice	445
Adult – Healthy Mobility	363
Healthy Mobility Large Breed	363
Healthy Mobility Small Bites	363
Small and Toy Breed	374
Small and Toy Breed Light	295
Healthy Advantage	270
ideal balance chicken and brown rice	377
Active	560
Light	295
Light Small Bites	295
Light Large Breed	298
Large Breed	365
Lamb Meal and Rice	364
Lamb Meal and Rice Small Bites	364
Lamb Meal and Rice Large Breed	365
Oral Care	273
Sensitive Skin	374
Sensitive Stomach	364
High Energy	560
Mature Adult Active Longevity	363
Mature Adult Large Breed	357
Mature Adult Small Bites	363
Weight Loss System Medium to Large Breed	307
Weight Loss System Small Breed	307
Mature Adult Ideal Balance, Chicken and Brown Rice	377
Mature Adult Small and Toy Breed	363

Science Diet- Nature’s Best
Puppy- Lamb and Brown Rice Dinner	442
Puppy- Chicken and Brown Rice Dinner	445
Lamb and Brown Rice Dinner- Small Bites	381
Lamb and Brown Rice Dinner	381
Chicken and Brown Rice Dinner- Small Bites	377
Chicken and Brown Rice Dinner- Small Bites	377

Sensible Choice Dog Food (Royal Canin)
Puppy – Chicken Meal and Rice	399
Rice and Catfish Meal	379

Sensible Choice Sensitive Stomach Formula
Puppy- Large Breed Chicken and Brown Rice	338
Chicken Meal and Rice	343
Reduced Calorie- Lamb Meal and Rice	284
Senior- Chicken Meal and Rice	344

Sensible Choice Sensitive Skin Formula
Puppy- Lamb Meal and Rice	397
Lamb Meal and Rice	344
Reduced Calorie- Lamb Meal and Rice	283
Senior- Lamb Meal and Rice	344

Sojos
Beef Complete	514
Turkey Complete	481
Grain-Free	347
Original	374


Solid Gold
Puppy- Wolf Cub- Bison	375
Puppy- Hundchen Flocken- Lamb	410
Barking at the Moon- High Protein, Low Carb.	465
Holistique Blendz- Fish	336
Hund-n-Flocken- Lamb	367
Just A Wee Bit- Bison	380
Mmillennia Beef and Barley	387
Wolf King- Bison	364
Sun Dancer Grain and Gluten Free Adult	350

Sport Mix
Pupppy- Original Formula- Mini Morsels	514
Energy Plus- Mini Chunk	552
Large Breed	449
High Energy- Chunk	544
High Energy- Mini Chunk	544
Maintenance- Mini Chunk	499
Lamb Meal and Rice Formula	448
Hunter’s Select- Mini Chunk	459
Original Formula- Bite Size	505
Original Formula- Chunk Style	505
Original Formula- High Protein	507
Stamina Adult- Mini Chunk	365

Star Pro
Puppy Formula	447
Performance Formula	454
Adult Formula	430
Lamb Meal and Rice Formula	443
Original Formula	432
Maintenance Formula	415
High Energy Formula	448
26/18 Professional Formula	440

Taste of the Wild
High Prarie Formula	370
Pacific Stream Formula	360
Wetlands Formula	375
Sierra Mountains Formula	338

Three Dog Bakery
Puppy – Chicken	358
Adult – Chicken	350
Wheat-Free Lamb	333
Fish & Sweet Potato	333
Healthy Weight Chicken	307
Bakery Blend – Puppy – Chicken Recipe	484
Bakery Blend – Adult – Chicken Recipe	464
Bakery Blend – Wheat Free Chicken	442

Timber Wolf Organics
Wild and Natural Formula	564
Ocean Blue Formula	521
Lamb and Barley with Apples Formula	556
Dakota Bison Formula	522
Wilderness Formula	522
Southwest Chicken and Herbs Formula	522
Black Forest Formula	500
Gaea – all life stages	434

Tuffy’s Gold
Premium Puppy	387
Premium Adult	375
Premium Maintenance	315
Premium Lamb Meal and Rice	343
Premium Performance	390
Classic Hi-Pro	340
golden chunks chicken	325
Professional 26/18	390
Golden Chunks Chicken Flavor	325

VeRUS
Puppy Advantage, Chicken Meal, Oats, and Brown Rice	425
Life Advantage, Chicken Meal, Oats, and Brown Rice	415
Adult Maintenance, Lamb Meal Oats, and Brown Rice	361
Weight Management, Lamb Meal, Oats and Brown Rice	359
Advanced Opticoat, Menhaden Fish Meal and Potato	397

Wellness
Just for Pupp, Supuer5 Mix	450
Chicken Super5 Mix	407
Lamb Super5 Mix	405
Whitefish and Sweet Potato	400
Healthy Weight Super5 Mix	325
Just for Seniors Super5 Mix	340
CORE Original Formula	421
CORE Reduced Fat Formula	360
CORE Ocean Recipe	417
Super5 Mix Large Breed Adult	336
Super5 Mix Large Breed Puppy	366
Small Breed Adult Health	420
Small Breed Healthy Weight	335
Small Breed Just for Puppy	480

Wellness Simple Food Solutions – Allergy Formulas
Rice and Duck	405
Rice and Lamb	405
Rice and Salmon	405

Wysong
Growth Formula	413
Maintenance Formula	410
Senior Formula	400
Synorgon Formula	413
Archetype Burgers	287
Archetype Buffet	376
Vegan	375
Anergen	343
Nurture	452
Vitality	433
Geriatrx	430
Uretic	470
